title,website,date,contributors,slug,images,proteins,products,business,finance_type,regions,location,description,body,ID,image_caption
Michroma,https://www.michroma.co/,2023-01-31T05:48:13-0500,,/directory/michroma,https://www.proteinreport.org/sites/default/files/2023-01/CMYK_Degrade_1.png,Fungi,Ingredients,Production,,"Latin America &amp; Caribbean, US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">U.S. 101 5911</span><br>
<span class=""locality"">San Francisco</span>, <span class=""administrative-area"">California</span> <span class=""postal-code"">94103</span><br>
<span class=""country"">United States</span></p>","Michroma is a biotech platform producing natural ingredients in a sustainable, scalable, and cost-effective way. We are using synthetic biology to unleash the potential of filamentous fungi and develop proprietary strains capable of producing high-performance ingredients in bioreactors.
Our first products are extremely pH and thermal stable food colorants which we are prototyping with some of the top food &amp; beverage and cosmetic companies in the world. We are also producing mycoprotein and many more ingredients to come.","<p>Michroma is a biotech platform producing natural ingredients in a sustainable, scalable, and cost-effective way. We are using synthetic biology to unleash the potential of filamentous fungi and develop proprietary strains capable of producing high-performance ingredients in bioreactors.</p>
<p>Our first products are extremely pH and thermal stable food colorants which we are prototyping with some of the top food &amp; beverage and cosmetic companies in the world. We are also producing mycoprotein and many more ingredients to come.</p>",11244,
"Protein Distillery",https://www.proteindistillery.com/,2022-12-19T04:31:39-0500,,/directory/protein-distillery,https://www.proteinreport.org/sites/default/files/2022-12/Protein_Distillery_Logo_CMYK.png,Microbial,Ingredients,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Ostpreußenstraße 2/2</span><br>
<span class=""postal-code"">73760</span> <span class=""locality"">Ostfildern</span><br>
<span class=""country"">Germany</span></p>","ProteinDistillery is a food-tech start-up which creates a new generation of clean and sustainable proteins for food companies using microorganisms. 
At ProteinDistillery we rethink a healthy and sustainable protein supply. We believe that it takes new technologies and products that enable the transition from linear to circular value chains to preserve our planet. With our innovative process we can purify proteins from residual yeast of the beer brewing process. ","<p>ProteinDistillery is a food-tech start-up which creates a new generation of clean and sustainable proteins for food companies using microorganisms. </p>
<p>At ProteinDistillery we rethink a healthy and sustainable protein supply. We believe that it takes new technologies and products that enable the transition from linear to circular value chains to preserve our planet. With our innovative process we can purify proteins from residual yeast of the beer brewing process.  </p>
<p>Clean and various. Brewer’s yeast proteins are multiply applicable - from neutral-tasting foam for cappuccino to fibrous structure and spicy umami taste for meat substitutes. And all of that without using artificial additives. </p>
<p>Healthy and sustainable. Proteins from microorganisms are resource-saving and need less water, energy and farmland than other protein sources in the manufacture. They have a great nutrient profile, which makes their quality comparable to egg protein. </p>
<p>With our expertise we help food companies to find a suitable protein source for authentic alternatives to animal products.</p>",11222,
"Opo Bio",https://www.opobio.com/,2022-11-21T03:28:27-0500,,/directory/opo-bio,https://www.proteinreport.org/sites/default/files/2022-11/Opo-Bio-Logo-Full.png,Cell-Based,Meat,Production,,Oceania,"<p class=""address"" translate=""no""><span class=""address-line1"">Broadway 142B</span><br>
<span class=""locality"">Auckland</span> <span class=""postal-code"">1023</span><br>
<span class=""country"">New Zealand</span></p>","B2B supplier of livestock cells for cultivated meat production. Opo is New Zealand&#039;s first cultivated meat company.","<p>B2B supplier of livestock cells for cultivated meat production. Opo is New Zealand&#039;s first cultivated meat company.</p>
<p>Opo Bio was founded in July 2022 by Dr Olivia Ogilvie, Dr Laura Domigan, and Dr Vaughan Feisst based on research developed in Dr Domigan&#039;s laboratory at The University of Auckland. The founding team are global leaders in cultivated meat. Domigan began working on cultivated meat in 2012 with Prof David Kaplan at Tufts University while Dr Ogilvie has been working on the policy and regulatory aspects of the technology during her postdoc. Dr Feisst is transferring his knowledge and experience from human therapeutics to producing cultivated meat.</p>",11197,
"Eden Bio",https://eden.bio/,2022-11-14T08:53:15-0500,,/directory/eden-bio,https://www.proteinreport.org/sites/default/files/2022-11/edenbio.png,Microbial,Ingredients,Research,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Wood Lane 58</span><br>
<span class=""locality"">London</span><br>
<span class=""postal-code"">W12 7RZ</span><br>
<span class=""country"">United Kingdom</span></p>","Eden Bio’s machine-learning platform technology enables the precision fermentation industry to overcome the issues of low yield currently preventing exciting protein products from making it to market. Dr Christopher Reynolds, an entrepreneur with a PhD in bioinformatics, a post-doctorate in bioengineering, and over twenty years as director of software house Arc en Ciel, launched Eden Bio in Jan 2022. Prior to that, he co-founded the precision fermentation dairy disruptor, Better Dairy, in 2020, where he served as CTO.","<p>Eden Bio’s machine-learning platform technology enables the precision fermentation industry to overcome the issues of low yield currently preventing exciting protein products from making it to market. Dr Christopher Reynolds, an entrepreneur with a PhD in bioinformatics, a post-doctorate in bioengineering, and over twenty years as director of software house Arc en Ciel, launched Eden Bio in Jan 2022. Prior to that, he co-founded the precision fermentation dairy disruptor, Better Dairy, in 2020, where he served as CTO.</p>",11189,
"Theo&#039;s Plant-Based",http://www.theosplantbased.com,2022-11-03T12:19:45-0400,,/directory/theos-plant-based,https://www.proteinreport.org/sites/default/files/2022-11/Blue%20Logo%2C%20Off-White%20Background.png,Plant-Based,Meat,Production,,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">South Federal Street 399-301</span><br>
<span class=""locality"">Chicago</span>, <span class=""administrative-area"">Illinois</span> <span class=""postal-code"">60604</span><br>
<span class=""country"">United States</span></p>","THEO’s Plant-Based offers chef-crafted, vegetable-forward products that honor vegetables for what they already are – tasty, nutritious, and planet-friendly. The brand is focused on elevating vegetables and putting plant-powered nutrition back to the forefront of plant-based products. By creating Certified Organic, better-for-you plant-based meats that deliver on both flavor and nutrition, THEO’s is on a mission to lead the world into a cleaner, more nutritious and sustainable food system where vegetables are once again the leading ingredients in plant-based cooking.","<p>THEO’s Plant-Based offers chef-crafted, vegetable-forward products that honor vegetables for what they already are – tasty, nutritious, and planet-friendly. The brand is focused on elevating vegetables and putting plant-powered nutrition back to the forefront of plant-based products. By creating Certified Organic, better-for-you plant-based meats that deliver on both flavor and nutrition, THEO’s is on a mission to lead the world into a cleaner, more nutritious and sustainable food system where vegetables are once again the leading ingredients in plant-based cooking.</p>",11179,
BioRaptor,https://www.bioraptor.ai/,2022-10-28T01:56:04-0400,,/directory/bioraptor,https://www.proteinreport.org/sites/default/files/2022-10/Bioraptor%20Logo.png,Microbial,Ingredients,Research,,"Middle East","<p class=""address"" translate=""no""><span class=""address-line1"">Ha-Agasim Street 12</span><br>
<span class=""locality"">Binyamina-Giv&#039;at Ada</span><br>
<span class=""country"">Israel</span></p>","Our goal is to empower every scientist and biotech firm, making AI-powered insights a natural part of every workflow.  From alt-protein foods to new biopharmaceuticals, bioraptor will make it easier, quicker and more cost-effective for scientists to discover, develop and scale processes that get much-needed food and pharma products into the hands of those who need them.","<p>Our goal is to empower every scientist and biotech firm, making AI-powered insights a natural part of every workflow.  From alt-protein foods to new biopharmaceuticals, bioraptor will make it easier, quicker and more cost-effective for scientists to discover, develop and scale processes that get much-needed food and pharma products into the hands of those who need them.</p>",11176,
"ScaleUp Bio",https://www.scaleupbio.com/,2022-10-26T02:24:22-0400,,/directory/scaleup-bio,https://www.proteinreport.org/sites/default/files/2022-10/scaleup.png,Microbial,"Meat, Dairy, Eggs, Seafood, Ingredients",Production,,Asia,"<p class=""address"" translate=""no""><span class=""postal-code"">858877</span><br>
<span class=""country"">Singapore</span></p>","ScaleUp Bio is a Singapore-based, pioneering company providing dedicated food-grade precision fermentation facilities and comprehensive contract development and manufacturing organisation services for innovative start-up food tech companies from around the world.
ScaleUp Bio is a joint-venture company of ADM, global leader in nutrition and agricultural origination and processing and Nurasa, a new company focused on accelerating the commercialisation and adoption of sustainable food across Asia and wholly owned by Temasek, a global investment management company in Singapore.","<p>ScaleUp Bio is a Singapore-based, pioneering company providing dedicated food-grade precision fermentation facilities and comprehensive contract development and manufacturing organisation services for innovative start-up food tech companies from around the world.</p>
<p>ScaleUp Bio is a joint-venture company of ADM, global leader in nutrition and agricultural origination and processing and Nurasa, a new company focused on accelerating the commercialisation and adoption of sustainable food across Asia and wholly owned by Temasek, a global investment management company in Singapore.</p>",11174,
"Adamo Foods",https://www.adamofoods.com/,2022-09-28T12:53:43-0400,,/directory/adamo-foods,https://www.proteinreport.org/sites/default/files/2022-09/Adamo%20logo%20-%20transparent.png,Fungi,Meat,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Brompton Road 220</span><br>
<span class=""locality"">London</span><br>
<span class=""postal-code"">SW3 2BB</span><br>
<span class=""country"">United Kingdom</span></p>","Adamo Foods is a food-technology company, developing the most innovative alternatives to meat whole-cuts. We’re launching the world’s first sustainable, yet delicious steak, entirely made from fungi.","<p>Adamo Foods is a food-technology company, developing the most innovative alternatives to meat whole-cuts. We’re launching the world’s first sustainable, yet delicious steak, entirely made from fungi.</p>",11159,
"Boston Bioworks",https://bostonbioworks.com/,2022-09-21T09:47:37-0400,,/directory/boston-bioworks,https://www.proteinreport.org/sites/default/files/2022-09/1655927528912.jpg,Microbial,Ingredients,"Production, Research",,"US &amp; Canada","<p class=""address"" translate=""no""><span class=""address-line1"">City Hall Square 2</span><br>
<span class=""locality"">Boston</span>, <span class=""administrative-area"">Massachusetts</span> <span class=""postal-code"">02203</span><br>
<span class=""country"">United States</span></p>","We are a service provider company that is helping fermentation-based food ingredient / alternative protein companies ferment at scale. Founded by industry leaders with decades of experience in precision fermentation / bioprocess and commercial expertise, our vision is to remove the capacity and knowledge bottlenecks experienced within the global food industry.","<p>We are a service provider company that is helping fermentation-based food ingredient / alternative protein companies ferment at scale. Founded by industry leaders with decades of experience in precision fermentation / bioprocess and commercial expertise, our vision is to remove the capacity and knowledge bottlenecks experienced within the global food industry.</p>",11153,
Nutropy,https://nutropy.com/,2022-09-08T09:58:10-0400,,/directory/nutropy,https://www.proteinreport.org/sites/default/files/2022-09/Nutropy_logo-BLUE-1536x247.png,Microbial,Dairy,Production,,Europe,"<p class=""address"" translate=""no""><span class=""address-line1"">Autoroute du Soleil</span><br>
<span class=""postal-code"">91080</span> <span class=""locality"">Évry-Courcouronnes</span><br>
<span class=""country"">France</span></p>","Nutropy is creating the next generation of animal-free dairy, starting with cheese. The company was founded in Paris by Nathalie Rolland and Maya Bendifallah, PhD, mission-driven alternative protein pioneers and technology specialists who are dedicated to providing consumers with what we know and love in cheese - flavor, texture, melt - through a more sustainable and animal-friendly process than traditional dairy. Nutropy leverages innovative precision fermentation technology and ancestral savoir-faire to create distinct animal-free dairy products, with a French touch.","<p>Nutropy is creating the next generation of animal-free dairy, starting with cheese. The company was founded in Paris by Nathalie Rolland and Maya Bendifallah, PhD, mission-driven alternative protein pioneers and technology specialists who are dedicated to providing consumers with what we know and love in cheese - flavor, texture, melt - through a more sustainable and animal-friendly process than traditional dairy. Nutropy leverages innovative precision fermentation technology and ancestral savoir-faire to create distinct animal-free dairy products, with a French touch.</p>",11147,
